F1_target_variable,F1_collaborative_variable1,F1_collaborative_variable2,F1_collaborative_variable3,F1_collaborative_variable4
0.537,1427.1509,0.9,0.3207,0.3331
0.5356,1416.7644,0.8971,0.3206,0.3327
0.5342,1405.7085,0.8941,0.3205,0.3322
0.5327,1394.0188,0.8911,0.3204,0.3317
0.5312,1381.7214,0.888,0.3202,0.3312
0.5297,1368.8423,0.8848,0.3201,0.3307
0.5281,1355.4023,0.8816,0.32,0.3302
0.5265,1341.4237,0.8783,0.3198,0.3296
0.5249,1326.9246,0.875,0.3197,0.329
0.5232,1311.9174,0.8716,0.3195,0.3284
0.5215,1296.4204,0.8682,0.3193,0.3278
0.5199,1280.4517,0.8648,0.3191,0.3272
0.5182,1264.0242,0.8612,0.3189,0.3266
0.5164,1247.1582,0.8577,0.3187,0.3259
0.5147,1229.8695,0.854,0.3185,0.3253
0.513,1212.1833,0.8504,0.3182,0.3246
0.5113,1194.1196,0.8466,0.318,0.324
0.5095,1175.7047,0.8428,0.3178,0.3233
0.5078,1156.9629,0.8388,0.3175,0.3226
0.5061,1137.9304,0.8348,0.3172,0.322
0.5043,1118.634,0.8306,0.317,0.3214
0.5026,1099.1099,0.8263,0.3167,0.3207
0.5009,1079.3953,0.8218,0.3164,0.3201
0.4992,1062.5699,0.8172,0.3161,0.3195
0.4975,1045.6901,0.8124,0.3158,0.3189
0.4959,1028.501,0.8073,0.3155,0.3184
0.4943,1011.0543,0.8021,0.3151,0.3178
0.4927,993.3947,0.7967,0.3148,0.3173
0.4911,975.5807,0.7911,0.3145,0.3167
0.4896,957.6669,0.7853,0.3141,0.3162
0.4882,939.7177,0.7793,0.3138,0.3158
0.4868,921.7948,0.7733,0.3134,0.3153
0.4855,903.9694,0.7672,0.313,0.3148
0.4842,886.3078,0.7611,0.3127,0.3144
0.483,868.8851,0.7551,0.3123,0.314
0.482,851.7716,0.7492,0.3119,0.3135
0.481,835.0436,0.7435,0.3115,0.3131
0.48,818.7672,0.7381,0.3111,0.3127
0.4792,803.0091,0.7329,0.3107,0.3123
0.4785,787.8293,0.7281,0.3103,0.3119
0.4779,773.2801,0.7236,0.3099,0.3116
0.4774,759.4075,0.7195,0.3094,0.3112
0.477,746.2448,0.7158,0.309,0.3108
0.4767,733.8116,0.7126,0.3086,0.3104
0.4764,722.1167,0.7097,0.3081,0.31
0.4763,711.15,0.7071,0.3077,0.3096
0.4762,700.8908,0.7049,0.3072,0.3093
0.4762,691.301,0.7031,0.3068,0.3089
0.4763,682.3354,0.7014,0.3063,0.3085
0.4764,673.9252,0.7001,0.3058,0.3081
0.4766,666.001,0.6989,0.3054,0.3077
0.4767,658.4846,0.6978,0.3049,0.3073
0.477,651.28,0.6969,0.3044,0.3069
0.4772,644.2991,0.696,0.3039,0.3065
0.4774,637.4469,0.6952,0.3034,0.306
0.4776,630.6309,0.6945,0.3029,0.3056
0.4778,623.761,0.6937,0.3024,0.3052
0.4779,616.7542,0.6929,0.3019,0.3047
0.4781,609.5426,0.692,0.3014,0.3043
0.4782,602.0536,0.6911,0.3009,0.3038
0.4783,594.2285,0.6901,0.3004,0.3034
0.4783,586.0233,0.6891,0.2998,0.3029
0.4783,577.3938,0.6879,0.2993,0.3024
0.4783,568.313,0.6867,0.2988,0.302
0.4782,558.7477,0.6853,0.2982,0.3015
0.4781,548.6929,0.6839,0.2977,0.301
0.4779,538.1327,0.6824,0.2971,0.3005
0.4777,527.0589,0.6807,0.2966,0.3
0.4775,515.4722,0.679,0.296,0.2994
0.4772,503.3832,0.6772,0.2955,0.2989
0.4769,490.7959,0.6752,0.2949,0.2984
0.4766,477.7208,0.6732,0.2944,0.2979
0.4762,464.1644,0.6712,0.2938,0.2973
0.4758,450.1525,0.669,0.2932,0.2968
0.4754,435.6834,0.6668,0.2926,0.2962
0.475,420.7905,0.6645,0.2921,0.2957
0.4745,405.4846,0.6621,0.2915,0.2951
0.4741,389.7867,0.6597,0.2909,0.2945
0.4736,373.7014,0.6572,0.2903,0.2939
0.473,357.2448,0.6547,0.2897,0.2934
0.4725,340.4186,0.6522,0.2891,0.2928
0.472,327.3462,0.6496,0.2886,0.2922
0.4714,318.4366,0.6469,0.288,0.2916
0.4709,309.2922,0.6443,0.2874,0.291
0.4703,299.9294,0.6416,0.2868,0.2904
0.5279,372.3001,0.9095,0.2842,0.3219
0.528,371.4718,0.9112,0.2846,0.3221
0.5281,370.6194,0.9128,0.285,0.3223
0.5283,369.7416,0.9144,0.2853,0.3225
0.5284,368.8435,0.916,0.2857,0.3226
0.5285,367.9277,0.9175,0.2861,0.3228
0.5287,366.9948,0.919,0.2864,0.323
0.5288,366.0463,0.9205,0.2868,0.3231
0.5289,365.0891,0.9219,0.2871,0.3233
0.529,364.1261,0.9233,0.2875,0.3235
0.5291,363.1599,0.9247,0.2878,0.3236
0.5293,362.1941,0.9261,0.2881,0.3238
0.5294,361.2353,0.9274,0.2885,0.3239
0.5295,360.2864,0.9288,0.2888,0.3241
0.5296,359.3513,0.9301,0.2892,0.3242
0.5297,358.4377,0.9313,0.2895,0.3244
0.5298,357.5494,0.9326,0.2899,0.3245
0.5299,356.694,0.9338,0.2902,0.3247
0.53,355.8788,0.935,0.2905,0.3248
0.5301,355.1114,0.9361,0.2909,0.325
0.5302,354.3976,0.9373,0.2912,0.3251
0.5303,353.7453,0.9384,0.2915,0.3253
0.5304,353.1604,0.9395,0.2919,0.3254
0.5304,352.6497,0.9406,0.2922,0.3256
0.5305,352.2191,0.9417,0.2925,0.3257
0.5306,351.875,0.9428,0.2929,0.3259
0.5307,351.6243,0.9438,0.2932,0.326
0.5308,351.4735,0.9449,0.2935,0.3262
0.5309,351.4301,0.9459,0.2939,0.3263
0.5309,351.5015,0.9469,0.2942,0.3265
0.531,351.6949,0.9479,0.2945,0.3266
0.5311,352.0181,0.9488,0.2949,0.3268
0.5312,352.4781,0.9498,0.2952,0.3269
0.5313,353.0835,0.9507,0.2955,0.3271
0.5314,353.8404,0.9517,0.2959,0.3272
0.5315,354.7565,0.9526,0.2962,0.3274
0.5316,355.8376,0.9535,0.2965,0.3275
0.5317,357.0908,0.9544,0.2969,0.3277
0.5318,358.5231,0.9553,0.2972,0.3278
0.5319,360.1401,0.9562,0.2975,0.328
0.532,361.948,0.957,0.2978,0.3281
0.5321,363.9514,0.9578,0.2982,0.3283
0.5322,366.1556,0.9587,0.2985,0.3284
0.5323,368.5649,0.9595,0.2988,0.3286
0.5324,371.1831,0.9602,0.2992,0.3288
0.5326,374.0129,0.961,0.2995,0.3289
0.5327,377.0567,0.9618,0.2998,0.3291
0.5328,380.3179,0.9625,0.3001,0.3292
0.5329,383.7953,0.9632,0.3005,0.3294
0.533,387.4908,0.9639,0.3008,0.3295
0.5332,391.4059,0.9646,0.3011,0.3297
0.5333,395.5372,0.9652,0.3014,0.3298
0.5334,399.8848,0.9658,0.3018,0.33
0.5335,404.4452,0.9665,0.3021,0.3301
0.5337,409.2151,0.967,0.3024,0.3303
0.5338,414.1912,0.9676,0.3027,0.3304
0.5339,419.3694,0.9682,0.303,0.3306
0.534,424.746,0.9687,0.3034,0.3307
0.5341,430.3138,0.9692,0.3037,0.3309
0.5342,436.0662,0.9696,0.304,0.331
0.5343,441.9995,0.9701,0.3043,0.3311
0.5344,448.1061,0.9705,0.3046,0.3313
0.5345,454.38,0.9709,0.3049,0.3314
0.5346,460.8143,0.9713,0.3052,0.3315
0.5346,467.4017,0.9717,0.3055,0.3317
0.5347,474.1342,0.972,0.3058,0.3318
0.5348,481.0042,0.9723,0.3061,0.3319
0.5348,488.0043,0.9726,0.3064,0.332
0.5349,495.1264,0.9728,0.3067,0.3322
0.5349,502.3633,0.9731,0.307,0.3323
0.535,509.7071,0.9733,0.3073,0.3324
0.535,517.149,0.9735,0.3076,0.3325
0.5351,524.6818,0.9736,0.3079,0.3326
0.5351,532.2986,0.9737,0.3082,0.3327
0.5351,539.9902,0.9738,0.3084,0.3328
0.5352,547.7495,0.9739,0.3087,0.3329
0.5352,555.5671,0.9739,0.309,0.333
0.5352,563.4396,0.9739,0.3092,0.333
0.5352,571.3557,0.9739,0.3095,0.3331
0.5353,579.3103,0.9739,0.3098,0.3332
0.5353,587.2999,0.9738,0.31,0.3333
0.5353,595.3126,0.9737,0.3103,0.3333
0.5353,603.3473,0.9735,0.3105,0.3334
0.5353,611.3948,0.9733,0.3108,0.3335
0.5354,619.4503,0.9731,0.311,0.3335
0.5354,627.51,0.9729,0.3112,0.3336
0.5354,635.567,0.9726,0.3115,0.3336
0.5355,643.6173,0.9723,0.3117,0.3337
0.5355,651.6543,0.9719,0.3119,0.3337
0.5355,659.6722,0.9715,0.3121,0.3337
0.5355,667.6686,0.9711,0.3123,0.3338
0.5356,675.6387,0.9706,0.3125,0.3338
0.5356,683.5757,0.9701,0.3127,0.3338
0.5356,691.4755,0.9695,0.3129,0.3338
0.5356,699.3361,0.9689,0.3131,0.3339
0.5357,707.1534,0.9683,0.3133,0.3339
0.5357,714.9245,0.9676,0.3135,0.3339
0.5357,722.6482,0.9668,0.3137,0.3339
0.5357,730.3214,0.9661,0.3138,0.3339
0.5357,737.9442,0.9653,0.314,0.3339
0.5357,745.5179,0.9645,0.3142,0.3339
0.5358,753.0416,0.9636,0.3143,0.3339
0.5358,760.5175,0.9627,0.3145,0.3339
0.5358,767.9504,0.9617,0.3146,0.3339
0.5358,775.3413,0.9608,0.3148,0.3338
0.5358,782.6927,0.9597,0.3149,0.3338
0.5358,790.0173,0.9587,0.3151,0.3338
0.5358,797.3164,0.9576,0.3152,0.3338
0.5358,804.5983,0.9565,0.3153,0.3337
0.5358,811.8678,0.9555,0.3155,0.3337
0.5358,819.1412,0.9543,0.3156,0.3337
0.5358,826.4208,0.9532,0.3157,0.3336
0.5359,833.7222,0.9521,0.3158,0.3336
0.5359,841.0523,0.951,0.3159,0.3335
0.536,848.4262,0.95,0.316,0.3335
0.5361,855.8556,0.9489,0.3162,0.3335
0.5362,863.3528,0.9479,0.3163,0.3334
0.5363,870.9277,0.9469,0.3164,0.3333
0.5364,878.6011,0.9459,0.3165,0.3333
0.5366,886.3839,0.945,0.3166,0.3332
0.5367,894.2867,0.9442,0.3167,0.3332
0.5369,902.3291,0.9434,0.3168,0.3331
0.5372,910.5283,0.9426,0.3169,0.3331
0.5374,918.8999,0.9419,0.317,0.333
0.5377,927.4612,0.9413,0.3171,0.333
0.538,936.2313,0.9408,0.3172,0.3329
0.5383,945.2311,0.9403,0.3173,0.3329
0.5386,954.4784,0.9398,0.3174,0.3329
0.539,963.9957,0.9394,0.3175,0.3329
0.5393,973.8036,0.9391,0.3176,0.3328
0.5397,983.9291,0.9388,0.3177,0.3328
0.5401,994.3912,0.9385,0.3178,0.3328
0.5406,1005.2153,0.9383,0.3179,0.3329
0.541,1016.4274,0.9381,0.318,0.3329
0.5415,1028.0399,0.938,0.3181,0.3329
0.542,1040.0811,0.9379,0.3182,0.333
0.5425,1052.5649,0.9377,0.3184,0.3331
0.543,1065.5081,0.9376,0.3185,0.3332
0.5435,1078.9167,0.9375,0.3186,0.3333
0.544,1092.8004,0.9375,0.3187,0.3334
0.5445,1107.1586,0.9374,0.3188,0.3335
0.5451,1121.9825,0.9373,0.3189,0.3337
0.5456,1137.2628,0.9373,0.319,0.3339
0.5462,1152.9771,0.9373,0.3192,0.334
0.5467,1169.0984,0.9373,0.3193,0.3342
0.5472,1185.59,0.9373,0.3194,0.3344
0.5477,1202.4148,0.9373,0.3195,0.3346
0.5482,1219.5159,0.9373,0.3196,0.3349
0.5487,1236.8374,0.9373,0.3197,0.3351
0.5492,1254.3174,0.9374,0.3198,0.3353
0.5497,1271.8798,0.9375,0.32,0.3355
0.5501,1289.4448,0.9375,0.3201,0.3357
0.5505,1306.9277,0.9376,0.3202,0.3359
0.5509,1324.236,0.9376,0.3203,0.3361
0.5513,1341.2716,0.9376,0.3204,0.3362
0.5516,1357.9313,0.9376,0.3205,0.3364
0.5518,1374.1138,0.9375,0.3206,0.3365
0.5521,1389.7151,0.9374,0.3207,0.3366
0.5523,1404.6316,0.9372,0.3208,0.3367
0.5524,1418.7673,0.9369,0.3209,0.3367
0.5525,1432.021,0.9366,0.3209,0.3368
0.5525,1444.311,0.9361,0.321,0.3368
0.5525,1455.5575,0.9356,0.3211,0.3368
0.5524,1465.6914,0.9349,0.3212,0.3368
0.5522,1474.6567,0.9341,0.3212,0.3367
0.552,1482.4011,0.9332,0.3213,0.3367
0.5517,1488.8958,0.9322,0.3213,0.3366
0.5513,1494.1182,0.9311,0.3214,0.3366
0.5508,1498.0579,0.9299,0.3214,0.3365
0.5503,1500.7239,0.9285,0.3214,0.3364
0.5497,1502.1321,0.927,0.3214,0.3363
0.549,1502.313,0.9253,0.3214,0.3361
0.5483,1501.3027,0.9236,0.3214,0.336
0.5475,1499.1475,0.9216,0.3214,0.3358
0.5466,1495.8987,0.9195,0.3214,0.3356
0.5456,1491.61,0.9172,0.3214,0.3354
0.5446,1486.3396,0.9148,0.3213,0.3351
0.5435,1480.1396,0.9123,0.3213,0.3348
0.5423,1473.063,0.9097,0.3212,0.3345
0.5411,1465.1614,0.907,0.3212,0.3342
0.5398,1456.4779,0.9042,0.3211,0.3338
0.5385,1447.0525,0.9013,0.321,0.3334
0.5371,1436.928,0.8984,0.3209,0.333
0.5357,1426.1317,0.8954,0.3208,0.3325
0.5343,1414.6986,0.8923,0.3207,0.332
0.5328,1402.6504,0.8892,0.3206,0.3315
0.5312,1390.0143,0.886,0.3204,0.331
0.5296,1376.8123,0.8828,0.3203,0.3305
0.528,1363.0571,0.8795,0.3202,0.3299
0.5264,1348.7671,0.8762,0.32,0.3293
0.5248,1333.9568,0.8728,0.3198,0.3287
0.5231,1318.6392,0.8694,0.3196,0.3281
0.5214,1302.8278,0.8659,0.3194,0.3274
0.5197,1286.5405,0.8624,0.3192,0.3268
0.518,1269.7893,0.8588,0.319,0.3262
0.5162,1252.5928,0.8552,0.3188,0.3255
0.5145,1234.9724,0.8515,0.3186,0.3248
0.5128,1216.9493,0.8477,0.3183,0.3242
0.511,1198.5488,0.8439,0.3181,0.3235
0.5093,1179.8003,0.84,0.3178,0.3229
0.5075,1160.7312,0.8359,0.3176,0.3222
0.5058,1141.3773,0.8317,0.3173,0.3216
0.504,1121.7701,0.8274,0.317,0.3209
0.5023,1101.9493,0.8229,0.3167,0.3203
0.5006,1082.7842,0.8182,0.3164,0.3197
0.4989,1065.7528,0.8133,0.3161,0.3191
0.4972,1048.3899,0.8081,0.3158,0.3185
0.4956,1030.7471,0.8028,0.3155,0.318
0.4939,1012.8757,0.7972,0.3151,0.3174
0.4924,994.8301,0.7913,0.3148,0.3169
0.4908,976.6704,0.7853,0.3144,0.3164
0.4894,958.4606,0.7791,0.3141,0.3159
0.4879,940.2679,0.7728,0.3137,0.3154
0.4866,922.1589,0.7664,0.3134,0.315
0.4853,904.2113,0.76,0.313,0.3145
0.4841,886.4956,0.7537,0.3126,0.3141
0.483,869.0909,0.7475,0.3122,0.3137
0.4819,852.0722,0.7415,0.3118,0.3133
0.481,835.5127,0.7357,0.3114,0.3129
0.4802,819.4847,0.7303,0.311,0.3125
0.4794,804.0476,0.7252,0.3106,0.3121
0.4788,789.2612,0.7206,0.3102,0.3117
0.4783,775.1716,0.7163,0.3097,0.3114
0.4779,761.8162,0.7125,0.3093,0.311
0.4775,749.2173,0.7092,0.3089,0.3106
0.4773,737.3916,0.7062,0.3084,0.3102
0.4772,726.3271,0.7037,0.308,0.3098
0.4771,716.0053,0.7015,0.3075,0.3095
0.4771,706.3911,0.6996,0.3071,0.3091
0.4772,697.4396,0.698,0.3066,0.3087
0.4774,689.0829,0.6967,0.3061,0.3083
0.4775,681.2473,0.6956,0.3057,0.3079
0.4777,673.8478,0.6946,0.3052,0.3075
0.478,666.7954,0.6938,0.3047,0.3071
0.4782,659.9874,0.6931,0.3042,0.3067
0.4785,653.3302,0.6924,0.3037,0.3063
0.4787,646.7252,0.6917,0.3032,0.3058
0.4789,640.0787,0.691,0.3027,0.3054
0.4791,633.302,0.6903,0.3022,0.305
0.4793,626.3168,0.6895,0.3017,0.3045
0.4794,619.0529,0.6887,0.3012,0.3041
0.4795,611.4535,0.6878,0.3006,0.3036
0.4795,603.4607,0.6868,0.3001,0.3031
0.4796,595.0432,0.6857,0.2996,0.3027
0.4795,586.1607,0.6845,0.2991,0.3022
0.4795,576.7934,0.6832,0.2985,0.3017
0.4794,566.9128,0.6818,0.298,0.3012
0.4792,556.5233,0.6803,0.2974,0.3007
0.479,545.6172,0.6787,0.2969,0.3002
0.4788,534.1866,0.677,0.2963,0.2997
0.4785,522.248,0.6752,0.2958,0.2992
0.4782,509.8003,0.6733,0.2952,0.2986
0.4779,496.8607,0.6713,0.2946,0.2981
0.4776,483.4437,0.6692,0.2941,0.2975
0.4772,469.5516,0.6671,0.2935,0.297
0.4768,455.2163,0.6649,0.2929,0.2964
0.4763,440.4447,0.6626,0.2924,0.2959
0.4759,425.2642,0.6602,0.2918,0.2953
0.4754,409.6828,0.6578,0.2912,0.2947
0.4749,393.7228,0.6553,0.2906,0.2942
0.4744,377.3817,0.6528,0.29,0.2936
0.4739,360.6987,0.6503,0.2894,0.293
0.4733,343.6707,0.6477,0.2888,0.2924
0.4728,333.3265,0.645,0.2882,0.2918
0.4722,324.2805,0.6424,0.2876,0.2912
0.4716,315.0179,0.6397,0.287,0.2906
0.5288,371.6777,0.9102,0.2845,0.3221
0.5289,370.9422,0.9119,0.2849,0.3222
0.529,370.1781,0.9135,0.2852,0.3224
0.5292,369.3887,0.9151,0.2856,0.3226
0.5293,368.5737,0.9166,0.2859,0.3227
0.5294,367.7356,0.9182,0.2863,0.3229
0.5295,366.8798,0.9197,0.2866,0.3231
0.5296,366.0056,0.9211,0.287,0.3232
0.5297,365.1197,0.9226,0.2873,0.3234
0.5299,364.2241,0.924,0.2877,0.3235
0.53,363.3226,0.9254,0.288,0.3237
0.5301,362.4193,0.9267,0.2884,0.3238
0.5302,361.5208,0.9281,0.2887,0.324
0.5303,360.6308,0.9294,0.2891,0.3241
0.5304,359.7529,0.9307,0.2894,0.3243
0.5305,358.8948,0.932,0.2897,0.3244
0.5305,358.0608,0.9332,0.2901,0.3246
0.5306,357.2582,0.9344,0.2904,0.3247
0.5307,356.4937,0.9356,0.2907,0.3249
0.5308,355.7739,0.9368,0.2911,0.325
0.5309,355.1054,0.9379,0.2914,0.3252
0.531,354.4951,0.9391,0.2918,0.3253
0.531,353.9489,0.9402,0.2921,0.3255
0.5311,353.4729,0.9413,0.2924,0.3256
0.5312,353.0733,0.9424,0.2928,0.3258
0.5313,352.7562,0.9435,0.2931,0.3259
0.5313,352.5285,0.9445,0.2934,0.3261
